,title,name,price,Waist Rise,Length,Fit,Brand Fit Name,Print or Pattern Type,Closure,Type of Pleat,Weave Type,Fly Type,productId,Distress,Collar,Hemline,Occasion,Placket,Sleeve Length,Placket Length
164,JAINISH,Men Grey Classic Slim Fit Solid Formal Shirt,Rs. 489,,Regular,Slim Fit,Classic,Solid,,,,,5126313,,Spread Collar,Straight,Formal,,Long Sleeves,
165,Tommy Hilfiger,Men Brown &amp; Navy Blue Slim Fit Checked Casual Shirt,Rs. 1999,,Regular,Slim Fit,,Tartan Checks,,,,,12356376,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
166,Roadster,Men Maroon Cotton Linen Casual Shirt,Rs. 849,,Regular,Regular Fit,,Solid,,,,,8217979,,Mandarin Collar,Curved,Casual,Button Placket,Long Sleeves,
167,H&amp;M,Men Black Solid Easy-iron shirt Slim Fit,Rs. 1299,,Regular,Slim Fit,,Solid,,,,,10364363,,Spread Collar,Curved,Formal,Button Placket,Long Sleeves,
168,Purple State,Men Beige Slim Fit Solid Casual Shirt,Rs. 699,,Regular,Slim Fit,,Solid,,,,,7106568,,Mandarin Collar,Curved,Casual,Button Placket,Long Sleeves,
169,HIGHLANDER,Men White &amp; Blue Slim Fit Checked Casual Shirt,Rs. 499,,Regular,Slim Fit,,Grid Tattersall Checks,,,,,10004121,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
170,Roadster,Men Navy Blue Regular Fit Solid Casual Shirt,Rs. 749,,Regular,Regular Fit,,Solid,,,,,9357631,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
171,HERE&amp;NOW,Men Green &amp; Navy Blue Slim Fit Checked Casual Shirt,Rs. 509,,Regular,Slim Fit,,Tartan Checks,,,,,11350310,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
172,Tistabene,Men Black &amp; Off-White Slim Fit Printed Casual Shirt,Rs. 899,,Regular,Slim Fit,Comfort,Ethnic Motifs,,,,,12451320,,Spread Collar,Curved,Casual,,Short Sleeves,
173,Hancock,Men White Slim Fit Solid Formal Shirt,Rs. 664,,Regular,Slim Fit,,Solid,,,,,1830428,,Spread Collar,Curved,Formal,Button Placket,Long Sleeves,
174,ether,Men Blue Regular Fit Anti-Microbial Oxford Casual Shirt,Rs. 714,,Regular,Regular Fit,,Solid,,,,,11421954,,Button-Down Collar,Curved,Casual,Button Placket,Long Sleeves,
175,Roadster,Men Burgundy &amp; Off-White Regular Fit Printed Casual Shirt,Rs. 559,,Regular,Regular Fit,,Geometric,,,,,12127562,,Mandarin Collar,Curved,Casual,Button Placket,Long Sleeves,
176,Roadster,Men Navy Blue &amp; Maroon Regular Fit Checked Casual Shirt,Rs. 749,,Regular,Regular Fit,,Tartan Checks,,,,,10863058,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
177,HIGHLANDER,Men Blue Slim Fit Checked Casual Shirt,Rs. 579,,Regular,Slim Fit,,Buffalo Checks,,,,,2192703,,Cutaway Collar,Curved,Casual,Button Placket,Long Sleeves,
178,WROGN,Maroon Printed Slim Fit Casual Shirt,Rs. 999,,Regular,Slim Fit,,Geometric,,,,,1421955,,Mandarin Collar,Curved,Casual,Button Placket,Long Sleeves,
179,Levis,Men Yellow &amp; Black Slim Fit Checked Casual Shirt,Rs. 2599,,Regular,Slim Fit,,Tartan Checks,,,,,11166452,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
180,Aeropostale,Men Pink Regular Fit Solid Casual Shirt,Rs. 1999,,Regular,Regular Fit,,Solid,,,,,12810114,,Button-Down Collar,Curved,Casual,Button Placket,Long Sleeves,
181,Hancock,Men Black Slim Fit Solid Formal Shirt,Rs. 547,,Regular,Slim Fit,,Solid,,,,,1849875,,Spread Collar,Curved,Formal,Button Placket,Long Sleeves,
182,Roadster,Men Olive Green &amp; Navy Blue Regular Fit Checked Casual Shirt,Rs. 584,,Regular,Regular Fit,,Tartan Checks,,,,,11326996,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
183,Mast &amp; Harbour,Men White Regular Fit Printed Casual Shirt,Rs. 849,,Regular,Regular Fit,,Floral,,,,,12445272,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
184,Tommy Hilfiger,Men Maroon Regular Fit Solid Casual Shirt,Rs. 1999,,Regular,Regular Fit,,Solid,,,,,12370686,,Button-Down Collar,Curved,Casual,Button Placket,Long Sleeves,
185,RARE RABBIT,Men White &amp; Blue Regular Fit Checked Casual Shirt,Rs. 2799,,Regular,Regular Fit,,Tartan Checks,,,,,12644758,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
186,HERE&amp;NOW,Men Grey &amp; Black Regular Fit Checked Hood Casual Shirt,Rs. 759,,Regular,Regular Fit,,Gingham Checks,,,,,12051664,,Hood,Curved,Casual,Button Placket,Long Sleeves,
187,HERE&amp;NOW,Men Green &amp; Grey Slim Fit Striped Casual Shirt,Rs. 639,,Regular,Slim Fit,,Vertical Stripes,,,,,11350328,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
188,Ed Hardy,Men Blue &amp; Grey Slim Fit Checked Casual Shirt,Rs. 2499,,Regular,Slim Fit,,Tartan Checks,,,,,12827592,,Spread Collar,Curved,Casual,Concealed Button Placket,Long Sleeves,
189,Calvin Klein Jeans,Men White &amp; Black Slim Fit Checked Casual Shirt,Rs. 2499,,Regular,Slim Fit,,Tartan Checks,,,,,11371072,,Spread Collar,Curved,Casual,Snap Button Placket,Short Sleeves,
190,GAS,Blue Floral Print Casual Shirt,Rs. 2695,,Regular,Regular Fit,,Floral,,,,,1343148,,Cutaway Collar,Curved,Casual,Button Placket,Long Sleeves,
191,HIGHLANDER,Men Navy Blue Slim Fit Printed Casual Shirt,Rs. 643,,Regular,Slim Fit,,Micro Ditsy,,,,,10341665,,Mandarin Collar,Curved,Casual,Button Placket,Long Sleeves,
192,HERE&amp;NOW,Men Mustard Brown Slim Fit Solid Casual Shirt,Rs. 699,,Regular,Slim Fit,,Solid,,,,,11049788,,Mandarin Collar,Curved,Casual,Button Placket,Long Sleeves,
193,Mast &amp; Harbour,Men Blue Regular Fit Checked Casual Shirt,Rs. 849,,Regular,Regular Fit,,Tartan Checks,,,,,12445302,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
194,Roadster,Men Blue Regular Fit Faded Casual Shirt,Rs. 809,,Regular,Regular Fit,,Faded,,,,,11327026,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
195,GANT,Men Blue &amp; Red Regular Fit Checked Casual Shirt,Rs. 2999,,Regular,Regular Fit,,Tartan Checks,,,,,11950108,,Button-Down Collar,Curved,Casual,Button Placket,Long Sleeves,
196,Mast &amp; Harbour,Men Grey Regular Fit Checked Casual Shirt,Rs. 849,,Regular,Regular Fit,,Micro Checks,,,,,12445154,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
197,Hancock,Men Grey Slim Fit Solid Formal Shirt,Rs. 899,,Regular,Slim Fit,,Solid,,,,,8689851,,Spread Collar,Straight,Formal,Button Placket,Long Sleeves,
198,Campus Sutra,Men Blue Regular Fit Checked Casual Shirt,Rs. 449,,Regular,Regular Fit,,Buffalo Checks,,,,,10614498,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
199,Roadster,Men Blue Regular Fit Checked Casual Shirt,Rs. 809,,Regular,Regular Fit,,Tartan Checks,,,,,11326804,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
200,Calvin Klein Jeans,Men Black &amp; White Regular Fit Checked Casual Shirt,Rs. 2069,,Regular,Regular Fit,,Micro Checks,,,,,8509749,,Spread Collar,Curved,Casual,Button Placket,Short Sleeves,
201,Jack &amp; Jones,Men Navy Blue Slim Fit Solid Casual Shirt,Rs. 2249,,Regular,Slim Fit,,Solid,,,,,11207520,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
202,max,Men Mustard Yellow Slim Fit Solid Casual Shirt,Rs. 999,,Regular,Slim Fit,,Solid,,,,,12644504,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
203,Levis,Men Navy Blue Slim Fit Printed Casual Shirt,Rs. 1999,,Regular,Slim Fit,,Floral,,,,,11166358,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
204,Roadster,Men Blue Regular Fit Faded Casual Denim Shirt,Rs. 599,,Regular,Regular Fit,,Faded,,,,,11957922,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
205,LOCOMOTIVE,Men Blue &amp; Navy Blue Slim Fit Checked Casual Shirt,Rs. 659,,Regular,Slim Fit,,Buffalo Checks,,,,,10341691,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
206,JAINISH,Men Navy Blue Classic Slim Fit Printed Formal Shirt,Rs. 674,,Regular,Slim Fit,Classic,Micro Ditsy,,,,,2430370,,Spread Collar,Curved,Formal,,Long Sleeves,
207,Calvin Klein Jeans,Men Beige &amp; White Slim Fit Striped Oxford Casual Shirt,Rs. 2474,,Regular,Slim Fit,,Vertical Stripes,,,,,12313342,,Slim Collar,Curved,Casual,Button Placket,Long Sleeves,
208,Anouk,Men Mustard Yellow &amp; White Regular Fit Printed Casual Shirt,Rs. 699,,Regular,Regular Fit,,Ethnic Motifs,,,,,10356877,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
209,MANQ,Men White Slim Fit Solid Knitted Casual Shirt,Rs. 479,,Regular,Slim Fit,,Solid,,,,,11752882,,Mandarin Collar,Curved,Casual,Button Placket,Short Sleeves,
210,Ecko Unltd,Men Blue Slim Fit Solid Casual Shirt,Rs. 839,,Regular,Slim Fit,,Solid,,,,,2284865,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
211,United Colors of Benetton,Men Maroon &amp; Navy Blue Slim Fit Corduroy Checked Casual Shirt,Rs. 1349,,Regular,Slim Fit,,Tartan Checks,,,,,11635926,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
212,Jack &amp; Jones,Men White &amp; Grey Regular Fit Striped Casual Shirt,Rs. 2249,,Regular,Regular Fit,,Vertical Stripes,,,,,11207554,,Spread Collar,Straight,Casual,Button Placket,Short Sleeves,
213,Calvin Klein Jeans,Grey Textured Slim Fit Casual Shirt,Rs. 4549,,Regular,Slim Fit,,Textured,,,,,7678611,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
214,Ducati,Men Red &amp; White Slim Fit Striped Casual Shirt,Rs. 804,,Regular,Slim Fit,,Horizontal Stripes,,,,,12419334,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
215,Tommy Hilfiger,Men Brown &amp; Navy Blue Slim Fit Checked Casual Shirt,Rs. 1999,,Regular,Slim Fit,,Tartan Checks,,,,,12356376,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
216,max,Men Blue Slim Fit Solid Casual Shirt,Rs. 899,,Regular,Slim Fit,,Solid,,,,,12623122,,Mandarin Collar,Curved,Casual,Button Placket,Long Sleeves,
217,HIGHLANDER,Men Black Slim Fit Solid Casual Shirt,Rs. 574,,Regular,Slim Fit,,Solid,,,,,6491775,,Mandarin Collar,Curved,Casual,Button Placket,Long Sleeves,
