,title,name,price,Waist Rise,Length,Fit,Brand Fit Name,Print or Pattern Type,Closure,Type of Pleat,Weave Type,Fly Type,productId,Distress,Fabric,Main Trend,Multipack Set,Neck,Occasion,Pattern,Fabric 2,Number of Pockets,Character,Sleeve Length,Type,Wash Care,Fabric 3,Sustainable
137,Roadster,Men Charcoal grey Printed Round Neck T-shirt,Rs. 319,,Regular,Regular Fit,,,,,,,12251170,,Cotton,Typography or Slogan Prints,Single,Round Neck,Casual,Printed,,,,,,,,
138,Classic Polo,Men Grey And Purple Striped Polo Collar T-shirt,Rs. 959,,Regular,Slim Fit,,,Button,,,,12462920,,Cotton,Multi or Variegated Stripes,Single,Polo Collar,Casual,,,,,,,,,
139,Rodzen,Men Blue Striped Round Neck T-shirt,Rs. 599,,Regular,Regular Fit,,,,,,,12316134,,Cotton,New Basics,Single,Round Neck,Casual,Striped,,,,,,,,
140,Roadster,Men Red &amp; Black Striped Polo Collar T-shirt,Rs. 399,,Regular,Regular Fit,,,Button,,,,12121330,,Cotton,New Basics,Single,Polo Collar,Casual,,,,,,,,,
141,U.S. Polo Assn.,Men Teal Green Solid Polo Collar T-shirt,Rs. 1699,,Regular,Regular Fit,,,Button,,,,11359604,,Cotton,New Basics,Single,Polo Collar,,,Polyester,,,,,,,
142,GANT,Men Grey Striped Polo Collar T-shirt,Rs. 5599,,Regular,Regular Fit,,,Button,,,,12014112,,Cotton,New Basics,Single,Polo Collar,Casual,,,,,,,,,
143,Roadster,Men Navy Blue &amp; White Striped Polo Collar T-shirt,Rs. 599,,Regular,Regular Fit,,,Button,,,,9973021,,Cotton,New Basics,Single,Polo Collar,Casual,,,,,,,,,
144,Roadster,Men Olive Green Solid Round Neck T-shirt,Rs. 279,,Regular,Regular Fit,,,,,,,12251206,,Cotton,New Basics,Single,Round Neck,Casual,Solid,,,,,,,,
145,HRX by Hrithik Roshan,Men Blue Haze Printed Organic Yoga Tshirts,Rs. 1044,,Regular,Regular Fit,,,,,,,11640066,,Cotton,Geometric Print,Single,Round Neck,Sports,Printed,,,,,,,,
146,Tommy Hilfiger,Men Blue Printed Round Neck T-shirt,Rs. 1299,,Regular,Regular Fit,,,,,,,12281608,,Cotton,Typography or Slogan Prints,Single,Round Neck,Casual,Printed,,,,,,,,
147,max,Men Red Printed Round Neck T-shirt,Rs. 599,,Regular,Regular Fit,,,,,,,12642838,,Cotton,Graphic Print Others,Single,Round Neck,Casual,Printed,,,,,,,,
148,Roadster,Men Burgundy &amp; Navy Blue Striped Round Neck T-shirt,Rs. 499,,Regular,Regular Fit,,,,,,,11545650,,Cotton,New Basics,Single,Round Neck,Casual,Striped,,,,,,,,
149,HRX by Hrithik Roshan,Men Aegean Blue Printed Organic Yoga Tshirts,Rs. 1044,,Regular,Regular Fit,,,,,,,11640512,,Cotton,Geometric Print,Single,Round Neck,Sports,,Elastane,,,,,,,
150,Roadster,Men Navy Striped T-shirt with Patch Pocket,Rs. 349,,,,,,,,,,1824372,,,,,,,,,,,,,,,
151,HERE&amp;NOW,Men Blue &amp; Grey Melange Dyed Round Neck T-shirt,Rs. 299,,Regular,Regular Fit,,,,,,,11332778,,Cotton,New Basics,Single,Round Neck,,,Polyester,1,,,,,,
152,VEIRDO,Men Maroon Colourblocked Polo Collar T-shirt,Rs. 499,,Regular,Regular Fit,,,,,,,11925912,,Cotton,Colourblocked,Single,Polo Collar,Casual,Colourblocked,,,,,,,,
153,Roadster,Men Navy Blue &amp; Mustard Yellow Striped Polo Collar T-shirt,Rs. 399,,Regular,Regular Fit,,,Button,,,,12121336,,Cotton,New Basics,Single,Polo Collar,Casual,,,,,,,,,
154,Maniac,Men Navy Blue Solid Round Neck T-shirt,Rs. 406,,Regular,Slim Fit,,,,,,,9059133,,Cotton,New Basics,Single,Round Neck,Casual,Solid,,,,,,,,
155,Roadster,Men Black Solid Raw Edge Round Neck T-shirt,Rs. 299,,,,,,,,,,1996792,,,,,,,,,,,,,,,
156,Calvin Klein Jeans,Men Grey Melange Slim Fit T-shirt With Brand Logo Print Detail,Rs. 1649,,Regular,Slim Fit,,,,,,,12243798,,Cotton,Typography or Slogan Prints,Single,Round Neck,Casual,Solid,,,,,,,,
157,Nautica,Men White Printed Polo Collar T-shirt,Rs. 2309,,Regular,Regular Fit,,,Button,,,,11487352,,Cotton,Conversational Print,Single,Polo Collar,Casual,,,,,,,,,
158,ether,Men Black Solid Round Neck T-Shirt,Rs. 249,,Regular,Regular Fit,,,,,,,1485529,,Cotton,New Basics,Single,Round Neck,Casual,Solid,,,,,,,,
159,Roadster,Men Navy Blue &amp; White Striped Round Neck T-shirt,Rs. 799,,Regular,Regular Fit,,,,,,,11533450,,Cotton,New Basics,Single,Round Neck,Casual,Striped,,,,,,,,
160,Rigo,Men Grey Colourblocked Round Neck T-shirt,Rs. 399,,Regular,Slim Fit,,,,,,,5567406,,Cotton,Colourblocked,Single,Round Neck,Casual,Colourblocked,,,,,,,,
161,Roadster,Men Charcoal Grey Solid Round Neck T-shirt,Rs. 799,,Regular,Regular Fit,,,,,,,11545332,,Cotton,New Basics,Single,Round Neck,Casual,Solid,,,,,,,,
162,H&amp;M,Men Green Polo Shirt Slim Fit,Rs. 799,,Regular,Regular Fit,,,,,,,12345538,,Cotton,New Basics,Single,Round Neck,Casual,Solid,,,,,,,,
163,HRX by Hrithik Roshan,Men Blue Haze Printed Organic Yoga Tshirts,Rs. 1044,,Regular,Regular Fit,,,,,,,11640066,,Cotton,Geometric Print,Single,Round Neck,Sports,Printed,,,,,,,,
164,Calvin Klein Jeans,Men Black Solid Round Neck T-shirt,Rs. 1649,,Regular,Slim Fit,,,,,,,12243780,,Cotton,New Basics,Single,Round Neck,Casual,,Elastane,,,,,,,
165,Roadster,Men Mustard Yellow Solid Polo Collar T-shirt,Rs. 499,,Regular,Regular Fit,,,,,,,9329707,,Cotton,New Basics,Single,Polo Collar,Casual,Solid,,,,,,,,
166,max,Men Red Printed Round Neck T-shirt,Rs. 599,,Regular,Regular Fit,,,,,,,12642838,,Cotton,Graphic Print Others,Single,Round Neck,Casual,Printed,,,,,,,,
167,GANT,Men Blue Solid Round Neck T-shirt,Rs. 2099,,Regular,Regular Fit,,,,,,,12553756,,Cotton,Abstract,Single,,,,Cotton,,Madagascar,,,,Polyester,
168,max,Men Grey Melange Striped Round Neck T-shirt,Rs. 599,,Regular,Slim Fit,,,,,,,12642900,,Polyester,New Basics,Single,Round Neck,Casual,Striped,,,,,,,,
169,Maniac,Men White Striped Scoop Neck T-shirt,Rs. 296,,Regular,Slim Fit,,,,,,,9200817,,Cotton,New Basics,Single,Scoop Neck,Casual,Striped,,,,,,,,
170,ether,ETHER Men Pink Solid Round Neck T-shirt,Rs. 299,,Regular,Regular Fit,,,,,,,11432196,,Cotton,New Basics,Single,Round Neck,,,Polyester,1,,,,,,
171,H&amp;M,Men White Solid 2-Pack Vest Tops Regular Fit,Rs. 799,,Regular,Regular Fit,,,,,,,12696206,,Cotton,New Basics,2,Round Neck,Casual,,Elastane,,,,,,,
172,Bewakoof,Men Black Printed Round Neck T-shirt,Rs. 329,,Regular,Regular Fit,,,,,,,12339226,,Cotton,Typography or Slogan Prints,Single,Round Neck,Casual,Printed,,,,,,,,
173,HRX by Hrithik Roshan,Men Blue Solid Round Neck Active T-shirt,Rs. 449,,Regular,Regular Fit,,,,,,,1709437,,Polyester,New Basics,Single,Round Neck,Sports,Solid,,,,,,,,
174,Sztori,Plus Size Men Navy Blue Solid Round Neck T-shirt,Rs. 359,,Regular,Regular Fit,,,,,,,11008394,,Cotton,Nautical,Single,Round Neck,Casual,Solid,,,,,,,,
175,max,Men White Batman Printed Round Neck T-shirt,Rs. 599,,Regular,Slim Fit,,,,,,,12624946,,Cotton,Placement Print,Single,Round Neck,Casual,,,,Batman,,,,,
176,Nautica,Men White Solid Polo Collar T-shirt,Rs. 1649,,Regular,Regular Fit,,,Button,,,,10772402,,Cotton,New Basics,Single,Polo Collar,Casual,,,,,,,,,
177,max,Men Black Batman Print Round Neck T-shirt,Rs. 599,,Regular,Slim Fit,,,,,,,12625188,,Cotton,Graphic Print Others,Single,Round Neck,Casual,,Elastane,,,,,,,
178,Mast &amp; Harbour,Men Mustard Yellow &amp; Black Printed Round Neck T-shirt,Rs. 449,,Regular,Regular Fit,,,,,,,12312530,,Cotton,Typography or Slogan Prints,Single,Round Neck,Casual,Printed,,,,,,,,
179,HRX by Hrithik Roshan,Men Winter Moss Printed Organic Yoga Tshirts,Rs. 1044,,Regular,Regular Fit,,,,,,,11640374,,Cotton,Geometric Print,Single,Round Neck,Sports,Printed,,,,,,,,
180,Classic Polo,Men Grey And Purple Striped Polo Collar T-shirt,Rs. 959,,Regular,Slim Fit,,,Button,,,,12462920,,Cotton,Multi or Variegated Stripes,Single,Polo Collar,Casual,,,,,,,,,
181,Roadster,Men Maroon &amp; Navy Blue Striped Polo Collar T-shirt,Rs. 599,,Regular,Regular Fit,,,Button,,,,9972813,,Cotton,New Basics,Single,Polo Collar,Casual,,,,,,,,,
182,Louis Philippe Sport,Men Black Solid Polo Collar T-shirt,Rs. 699,,Regular,Regular Fit,,,Button,,,,12390262,,Cotton,New Basics,Single,Polo Collar,,,Polyester,,,,,,,
183,Roadster,Men Charcoal Solid Round Neck T-shirt,Rs. 419,,Regular,Regular Fit,,,,,,,2275374,,Cotton,New Basics,Single,Round Neck,Casual,,Polyester,,,,,,,
184,HRX by Hrithik Roshan,Men Grey Printed Rapid Dry N9 Antimicrobial Running T-shirt,Rs. 499,,Regular,Regular Fit,,,,,,,11640406,,Polyester,Typography or Slogan Prints,Single,Round Neck,Sports,Printed,,,,,,,,
185,PUNK,Men Black Printed Round Neck T-shirt,Rs. 999,,Regular,Regular Fit,,,,,,,12820830,,Cotton,Graphic Print Others,Single,Round Neck,Casual,Printed,,,,,,,,
186,ether,Unisex Black &amp; White Striped Round Neck T-shirt,Rs. 329,,Regular,Regular Fit,,,,,,,2199704,,Cotton,Monochrome,Single,Round Neck,Casual,Striped,,,,,,,,
187,Kook N Keech,Men Pink Solid Round Neck T-shirt,Rs. 349,,Regular,Regular Fit,,,,,,,2388085,,Cotton,Typography or Slogan Prints,Single,Round Neck,Casual,Solid,,,,,,,,
188,Tommy Hilfiger,Men Blue Printed Round Neck T-shirt,Rs. 1299,,Regular,Regular Fit,,,,,,,12281608,,Cotton,Typography or Slogan Prints,Single,Round Neck,Casual,Printed,,,,,,,,
189,max,Men Blue Solid Polo Collar T-shirt,Rs. 899,,Regular,Regular Fit,,,,,,,12642934,,Cotton,New Basics,Single,Polo Collar,Casual,Solid,,,,,,,,
190,WROGN,Men White Slim Fit Solid Round Neck T-shirt with Printed Detail,Rs. 549,,Regular,Slim Fit,,,,,,,12329160,,Cotton,New Basics,Single,Round Neck,Casual,Solid,,,,,,,,
191,max,Men White Printed Round Neck T-shirt,Rs. 499,,Regular,Slim Fit,,,,,,,12642898,,Cotton,Typography or Slogan Prints,Single,Round Neck,Casual,,Elastane,,,,,,,
192,HERE&amp;NOW,Men Black &amp; Green Printed Round Neck T-shirt,Rs. 349,,Regular,Regular Fit,,,,,,,11748046,,Cotton,Typography or Slogan Prints,Single,Round Neck,Casual,Printed,,,,,,,,
193,Roadster,Men Black &amp; Grey Striped Polo Collar T-shirt,Rs. 479,,Regular,Regular Fit,,,Button,,,,12205844,,Cotton,New Basics,Single,Polo Collar,Casual,,,,,,,,,
194,Levis,Men White &amp; Grey Colourblocked Polo Collar T-shirt,Rs. 1999,,Regular,Regular Fit,,,,,,,11165302,,Cotton,Colourblocked,Single,Polo Collar,Casual,Colourblocked,,,,,,,,
195,HRX by Hrithik Roshan,Men Green Melange Printed Organic Yoga Tshirts,Rs. 1044,,Regular,Regular Fit,,,,,,,11640250,,Cotton,Typography or Slogan Prints,Single,Round Neck,Sports,Printed,,,,,,,,
196,Tommy Hilfiger,Men Pink Solid Round Neck Organic Cotton T-shirt,Rs. 1169,,Regular,Regular Fit,,,,,,,12281666,,Cotton,New Basics,Single,Round Neck,Casual,Solid,,,,,,,,
197,Bushirt,Men Black Solid Round Neck T-shirt,Rs. 237,,Regular,Regular Fit,,,,,,,11616684,,Cotton,New Basics,Single,Round Neck,Sports,Solid,,,,,,,,
198,H&amp;M,Men Green Solid Long Sustainable T-shirt,Rs. 699,,,,,,,,,,10360683,,Cotton,,,Round Neck,,Solid,,,,Short Sleeves,Regular,Machine Wash,,Sustainable
199,Maniac,Men Charcoal Grey Printed Round Neck Slim Fit T-shirt,Rs. 299,,Regular,Slim Fit,,,,,,,2493657,,Cotton,Graphic Print Others,Single,Round Neck,Casual,Printed,,,,,,,,
200,H&amp;M,Men Green Solid Long Sustainable T-shirt,Rs. 699,,,,,,,,,,10360683,,Cotton,,,Round Neck,,Solid,,,,Short Sleeves,Regular,Machine Wash,,Sustainable
201,U.S. Polo Assn.,Men Blue Solid Polo Collar T-shirt,Rs. 839,,Regular,Regular Fit,,,,,,,7215908,,Cotton,New Basics,Single,Polo Collar,Casual,Solid,,,,,,,,
