,title,name,price,Waist Rise,Length,Fit,Brand Fit Name,Print or Pattern Type,Closure,Type of Pleat,Weave Type,Fly Type,productId,Fabric,Neck,Number of Pockets,Pattern,Sleeve Length,Surface Styling,Type,Occasion,Sustainable,Wash Care
236,Tokyo Talkies,Women Brown Solid Basic Jumpsuit,Rs. 869,,,,,,Concealed Zip,,,,11970538,Polyester,Halter Neck,,Solid,Sleeveless,,Basic Jumpsuit,,,Machine Wash
237,Color Cocktail,Women Olive Green Solid Basic Jumpsuit,Rs. 779,,,,,,,,,,10832500,Polyester,Shirt Collar,2,Solid,Short Sleeves,Waist Tie-Ups,Basic Jumpsuit,,,Machine Wash
238,FabAlley,Women Yellow &amp; Black Striped Basic Jumpsuit,Rs. 1100,,,,,,Concealed Zip,,,,10339121,Polyester,Shoulder Straps,2,Striped,Sleeveless,Waist Tie-Ups,Basic Jumpsuit,,,
239,Cottinfab,Women Charcoal Grey &amp; Off-White Printed Waist Tie-Up Basic Jumpsuit,Rs. 769,,,,,,Concealed Zip,,,,12218598,Polyester,Round Neck,2,Printed,Three-Quarter Sleeves,Waist Tie-Ups,,Casual,,
240,MANGO,Women Red &amp; White Printed Basic Jumpsuit,Rs. 2333,,,,,,,,,,11294518,Polyester,Shoulder Straps,,Printed,Sleeveless,Gathers,Basic Jumpsuit,,,Machine Wash
241,MABISH by Sonal Jain,Black Solid One-Shoulder Dhoti Style Jumpsuit,Rs. 999,,,,,,Concealed Zip,,,,7585448,Viscose Rayon,Off-Shoulder,,Solid,Short Sleeves,Waist Tie-Ups,Basic Jumpsuit,,,Dry Clean
242,Athena,Women Beige &amp; Black Printed Basic Jumpsuit,Rs. 997,,,,,,Zip,,,,11698168,Polyester,V-Neck,,Printed,Sleeveless,Waist Tie-Ups,Basic Jumpsuit,,,Machine Wash
243,Jompers,Women Green Solid Basic Jumpsuit,Rs. 989,,,,,,Concealed Zip,,,,11526254,Polyester,Round Neck,2,Solid,Long Sleeves,Waist Tie-Ups,Basic Jumpsuit,,,
244,FABNEST,Women Black Solid Basic Jumpsuit,Rs. 1750,,,,,,Zip,,,,12286132,Cotton,Round Neck,,Solid,Three-Quarter Sleeves,,Basic Jumpsuit,,,Hand Wash
245,Karmic Vision,Women Black Lace Insert Basic Jumpsuit,Rs. 979,,,,,,Concealed Zip,,,,10167141,Polyester,Round Neck,2,Solid,Long Sleeves,Lace Inserts,Basic Jumpsuit,,,
246,FabAlley,Women Navy Blue &amp; Maroon Striped Basic Jumpsuit,Rs. 1100,,,,,,Zip,,,,12429946,Polyester,Shoulder Straps,2,Striped,Sleeveless,,Basic Jumpsuit,Casual,,
247,MANGO,Women Black &amp; Beige Printed Basic Jumpsuit with Waist Tie-Ups,Rs. 3213,,,,,,Button,,,,12088710,Viscose Rayon,Shirt Collar,2,Printed,Short Sleeves,Waist Tie-Ups,Basic Jumpsuit,,,
248,FABNEST,Women Yellow Solid Basic Jumpsuit,Rs. 1282,,,,,,Button,,,,10302525,Viscose Rayon,Round Neck,2,Solid,Three-Quarter Sleeves,Waist Tie-Ups,Basic Jumpsuit,,,
249,MANGO,Women Off-White &amp; Brown Printed Capri Jumpsuit with Waist Tie-Ups,Rs. 3913,,,,,,Concealed Zip,,,,12088702,Viscose Rayon,V-Neck,2,Printed,Short Sleeves,Waist Tie-Ups,Capri Jumpsuit,,,
250,Martini,Women Maroon Solid Basic Jumpsuit,Rs. 895,,,,,,Zip,,,,9920593,Polyester,Round Neck,,Solid,Sleeveless,Waist Tie-Ups,Basic Jumpsuit,,,Machine Wash
251,Ginger by Lifestyle,Women Mustard Yellow &amp; Blue Printed Playsuit,Rs. 909,,,,,,Concealed Zip,,,,11522130,Viscose Rayon,Scoop Neck,2,Printed,Sleeveless,Waist Tie-Ups,Playsuit,,,
252,Cottinfab,Women Black Playsuit,Rs. 674,,,,,,,,,,288187,,Boat Neck,,Solid,Sleeveless,,,,,
253,20Dresses,Women Green Solid Basic Jumpsuit,Rs. 1207,,,,,,Button,,,,11359400,Polyester,Halter Neck,,Solid,Sleeveless,,Basic Jumpsuit,,,Machine Wash
254,Juniper,Women Sea Green &amp; Off-White Printed Culotte Jumpsuit,Rs. 1999,,,,,,Concealed Zip,,,,12179982,Cotton,Round Neck,,Printed,Three-Quarter Sleeves,Waist Tie-Ups,Culotte Jumpsuit,,,Hand Wash
255,Taurus,Tango Women Black Solid Basic Jumpsuit,Rs. 1196,,,,,,,,,,10393233,Viscose Rayon,Shoulder Straps,2,Solid,Sleeveless,Embellished,Basic Jumpsuit,,,Hand Wash
256,FabAlley,Women Maroon Solid Basic Jumpsuit,Rs. 1100,,,,,,,,,,10956970,Polyester,Shoulder Straps,2,Solid,Short Sleeves,,Basic Jumpsuit,,,Machine Wash
257,Cottinfab,Women Red Solid Culotte Jumpsuit,Rs. 835,,,,,,Concealed Zip,,,,10658334,Polyester,Off-Shoulder,2,Solid,Short Sleeves,Waist Tie-Ups,Culotte Jumpsuit,,,
258,The Vanca,Women Mustard Yellow Solid Basic Jumpsuit,Rs. 879,,,,,,Concealed Zip,,,,10793816,Polyester,V-Neck,2,Solid,Short Sleeves,Waist Tie-Ups,Basic Jumpsuit,,,
259,Mast &amp; Harbour,Women Yellow &amp; Blue Printed Basic Jumpsuit,Rs. 949,,,,,,Concealed Zip,,,,12204568,Polyester,Round Neck,2,Printed,Short Sleeves,Gathers,,Casual,,
260,Cottinfab,Black Solid Cold-Shoulder Jumpsuit,Rs. 819,,,,,,Concealed Zip,,,,7846781,Polyester,Round Neck,2,Solid,Short Sleeves,Waist Tie-Ups,Basic Jumpsuit,,,
261,Cottinfab,Women Beige &amp; Black Printed Waist Tie-Up Basic Jumpsuit,Rs. 835,,,,,,Concealed Zip,,,,12218592,Polyester,Round Neck,2,Printed,Three-Quarter Sleeves,Waist Tie-Ups,,Casual,,
262,Uptownie Lite,Women Red Solid Basic Jumpsuit,Rs. 850,,,,,,Zip,,,,11816418,Polyester,Round Neck,,Solid,Short Sleeves,Ruffles,Basic Jumpsuit,,,Machine Wash
263,20Dresses,Women Black Solid One Shoulder Basic Jumpsuit,Rs. 1147,,,,,,Concealed Zip,,,,10848280,Polyester,Round Neck,,Solid,Sleeveless,,Basic Jumpsuit,,,Machine Wash
264,FabAlley,Women Green &amp; White Striped Basic Jumpsuit,Rs. 1100,,,,,,,,,,10957104,Polyester,V-Neck,2,Striped,Sleeveless,,Basic Jumpsuit,,,Machine Wash
265,Miss Bennett,Women Navy Blue &amp; Green Printed Longline Shirt with Trousers,Rs. 1999,,,,,,,,,,9260047,Polyester,V-Neck,,Printed,Long Sleeves,,Two-Piece,,,Machine Wash
266,Mast &amp; Harbour,Women Blue Solid Playsuit,Rs. 824,,,,,,Button,,,,11188652,Polyester,Round Neck,2,Solid,Short Sleeves,,Playsuit,,,Machine Wash
267,Darzi,Women Black &amp; Maroon Striped Basic Jumpsuit,Rs. 599,,,,,,Concealed Zip,,,,11445798,Polyester,Round Neck,2,Striped,Short Sleeves,,Basic Jumpsuit,,,Machine Wash
268,KASSUALLY,Women Charcoal Grey Solid Layered Basic Jumpsuit,Rs. 759,,,,,,Concealed Zip,,,,10523380,Polyester,Round Neck,,Solid,Sleeveless,Layered,Basic Jumpsuit,,,Hand Wash
269,AKS,Women Orange &amp; Black Snake Printed Basic Jumpsuit,Rs. 749,,,,,,Concealed Zip,,,,12168392,Viscose Rayon,V-Neck,2,Printed,Sleeveless,Waist Tie-Ups,,Casual,,
270,MABISH by Sonal Jain,Black Solid Playsuit,Rs. 1045,,,,,,Button,,,,9252947,Viscose Rayon,Mandarin Collar,2,Solid,Long Sleeves,Waist Tie-Ups,Playsuit,,,
271,SQew,Women Black Printed Basic Jumpsuit,Rs. 1999,,,,,,Button,,,,12800792,Viscose Rayon,Round Neck,2,Printed,Sleeveless,,,Casual,Regular,
272,FabAlley,Women Pink &amp; Black Striped Basic Jumpsuit,Rs. 1100,,,,,,Concealed Zip,,,,11466784,Viscose Rayon,Shoulder Straps,2,Striped,Sleeveless,,Basic Jumpsuit,,,Machine Wash
273,20Dresses,Women Navy Blue Solid Layered Playsuit,Rs. 1975,,,,,,Concealed Zip,,,,11843998,Polyester,V-Neck,2,Solid,Long Sleeves,Layered,Playsuit,,,
274,Cottinfab,Women Black Jumpsuit,Rs. 719,,,,,,,,,,211687,Viscose Rayon,Round Neck,,Solid,Sleeveless,,,,,
275,STREET 9,Women Mustard Yellow &amp; Black Solid Basic Jumpsuit,Rs. 1039,,,,,,Concealed Zip,,,,11744476,Polyester,V-Neck,2,Solid,Short Sleeves,Layered,Basic Jumpsuit,,,
276,Label Ritu Kumar,Women Black &amp; Peach-Coloured Layered Printed Flared Jumpsuit,Rs. 4900,,,,,,Concealed Zip,,,,11866348,Viscose Rayon,Shoulder Straps,2,Printed,Sleeveless,,Basic Jumpsuit,,,Hand Wash
277,Eavan,Women Pink &amp; Black Solid Culotte Jumpsuit,Rs. 1329,,,,,,Concealed Zip,,,,10793758,Polyester,Round Neck,2,Solid,Long Sleeves,Ruffles,Culotte Jumpsuit,,,
278,DressBerry,Women Olive Brown &amp; Navy Blue Printed Basic Jumpsuit,Rs. 647,,,,,,Button,,,,11271902,Polyester,V-Neck,2,Printed,Short Sleeves,Gathers,Basic Jumpsuit,,,
279,Cottinfab,Women Black Solid Playsuit,Rs. 683,,,,,,Button,,,,10053763,Polyester,Shirt Collar,2,Solid,Three-Quarter Sleeves,Waist Tie-Ups,Playsuit,,,
280,Crimsoune Club,Women Orange Printed Basic Jumpsuit,Rs. 1399,,,,,,Zip,,,,12485540,Cotton,Round Neck,2,Printed,Three-Quarter Sleeves,,Basic Jumpsuit,Casual,,
281,Global Desi,Women Teal Blue &amp; Mustard Yellow Printed Asymmetric Basic Jumpsuit,Rs. 2999,,,,,,,,,,12092548,Viscose Rayon,V-Neck,,Printed,Sleeveless,Gathers,Basic Jumpsuit,,,Hand Wash
282,DressBerry,Women Blue Solid Basic Jumpsuit,Rs. 629,,,,,,Button,,,,11306976,Cotton,Round Neck,2,Solid,Sleeveless,Waist Tie-Ups,,Casual,,
283,COVER STORY,Women Black Embroidered Basic Jumpsuit,Rs. 2790,,,,,,Concealed Zip,,,,11912920,Viscose Rayon,Round Neck,2,Self Design,Sleeveless,Embroidered,Basic Jumpsuit,,,
284,FABNEST,Women Red Solid Basic Jumpsuit,Rs. 1282,,,,,,Button,,,,10302535,Viscose Rayon,Round Neck,2,Solid,Three-Quarter Sleeves,Waist Tie-Ups,Basic Jumpsuit,,,
285,Iti,Women Brown Solid Basic Jumpsuit,Rs. 1819,,,,,,Zip,,,,11147602,Polyester,V-Neck,2,Solid,Three-Quarter Sleeves,,Basic Jumpsuit,,,Hand Wash
286,PURYS,Women Pink &amp; Grey Printed Playsuit,Rs. 649,,,,,,,,,,6382139,Polyester,Round Neck,2,Printed,Sleeveless,,Playsuit,,,Machine Wash
287,Berrylush,Women Green Solid Basic Jumpsuit,Rs. 711,,,,,,,,,,10730112,Polyester,Off-Shoulder,2,Solid,Sleeveless,,Basic Jumpsuit,,,Machine Wash
