,title,name,price,Waist Rise,Length,Fit,Brand Fit Name,Print or Pattern Type,Closure,Type of Pleat,Weave Type,Fly Type,productId,Distress,Fade,Shade,Stretch,Waistband,Type of Distress
44,Ecko Unltd,Men Black Super Slim Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 749,Mid-Rise,Regular,Slim Fit,,,,,,,7579037,Clean Look,Light Fade,Dark,Stretchable,With belt loops,
45,LOCOMOTIVE,Men Blue Slim Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 774,Mid-Rise,Regular,Slim Fit,,,,,,,7584933,Clean Look,Light Fade,Medium,Stretchable,With belt loops,
46,WROGN,Men Grey Slim Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 2399,Mid-Rise,Regular,Slim Fit,,,,,,,11560144,Clean Look,Heavy Fade,Medium,Stretchable,With belt loops,
47,Jack &amp; Jones,Men Grey Ben Skinny Fit Low-Rise Clean Look Stretchable Jeans,Rs. 2699,Low-Rise,Regular,Skinny Fit,Ben,,,,,,9658257,Clean Look,Light Fade,Light,,With belt loops,
48,Calvin Klein Jeans,Men Blue Slim Fit Mid-Rise Low Distress Stretchable Jeans,Rs. 9099,Mid-Rise,Regular,Slim Fit,,,,,,,8098973,Low Distress,Light Fade,Dark,,With belt loops,Ripped
49,Mast &amp; Harbour,Men Blue Skinny Fit Mid-Rise Slash Knee Stretchable Jeans,Rs. 849,Mid-Rise,Regular,Skinny Fit,,,,,,,7255224,Slash Knee,Light Fade,Light,,With belt loops,Ripped
50,Mast &amp; Harbour,Men Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 849,Mid-Rise,Regular,Skinny Fit,,,,,,,7255210,Clean Look,Light Fade,Medium,Stretchable,With belt loops,
51,WROGN,Men Grey Slim Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 2399,Mid-Rise,Regular,Slim Fit,,,,,,,11560218,Clean Look,Heavy Fade,Medium,Stretchable,With belt loops,
52,SPYKAR,Men Blue Kano Fit Low-Rise Mildly Distressed Stretchable Cropped  Jeans,Rs. 3699,Low-Rise,Cropped,Regular Fit,Kano,,,,,,12362942,Mildly Distressed,Heavy Fade,Medium,,,Cat Scratches
53,LOCOMOTIVE,Men Blue Tapered Fit Mid-Rise Highly Distressed Stretchable Jeans,Rs. 1124,Mid-Rise,Regular,Tapered Fit,,,,,,,9655651,Highly Distressed,Heavy Fade,Medium,Stretchable,,Ripped
54,LOCOMOTIVE,Men Black Tapered Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1124,Mid-Rise,Regular,Tapered Fit,,,,,,,11093594,Clean Look,Light Fade,Medium,Stretchable,With belt loops,
55,Ecko Unltd,Men Blue Slim Tapered Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 749,Mid-Rise,Regular,Tapered Fit,,,,,,,9808799,Clean Look,Light Fade,Dark,Stretchable,With belt loops,
56,Roadster,Men Black Regular Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 899,Mid-Rise,Regular,Regular Fit,,,,,,,7139489,Clean Look,No Fade,Dark,Stretchable,With belt loops,
57,Jack &amp; Jones,Men Navy Blue Regular Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1399,Mid-Rise,Regular,Regular Fit,Clark,,,,,,2523260,Clean Look,Light Fade,Dark,,With belt loops,
58,WROGN,Men Black Slim Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1209,Mid-Rise,Regular,Slim Fit,,,,,,,10187417,Clean Look,Light Fade,Dark,Stretchable,With belt loops,
59,HIGHLANDER,Men Grey Slim Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 699,Mid-Rise,Regular,Slim Fit,,,,,,,7326492,Clean Look,Light Fade,Medium,Stretchable,With belt loops,
60,Roadster,Men Blue Acid Wash Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 849,Mid-Rise,Regular,Skinny Fit,,,,,,,12303788,Clean Look,Light Fade,Light,Stretchable,With belt loops,
61,U.S. Polo Assn. Denim Co.,Men Black Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1399,Mid-Rise,Regular,Skinny Fit,,,,,,,2200580,Clean Look,No Fade,Dark,Stretchable,With belt loops,
62,Red Tape,Men Grey Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1049,Mid-Rise,Regular,Skinny Fit,,,,,,,11566754,Clean Look,Light Fade,Medium,Stretchable,With belt loops,
63,Roadster,Men Grey Skinny Fit Mid-Rise Clean Look Stretchable Crop Jeans with Side Stripes,Rs. 989,Mid-Rise,Cropped,Skinny Fit,,,,,,,12303668,Clean Look,Heavy Fade,Light,Stretchable,With belt loops,
64,Roadster,Men Blue Slim Fit Mid-Rise Clean Look Jeans,Rs. 779,Mid-Rise,Regular,Slim Fit,,,,,,,2296011,Clean Look,Light Fade,Medium,Non Stretchable,With belt loops,
65,Jack &amp; Jones,Men Blue Regular Fit Low-Rise Mildly Distressed Jeans,Rs. 1574,Low-Rise,Regular,Regular Fit,,,,,,,2370193,Mildly Distressed,Light Fade,Dark,Non Stretchable,With belt loops,
66,max,Men Black Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1299,Mid-Rise,Regular,Skinny Fit,,,,,,,12671414,Clean Look,No Fade,Coloured,Stretchable,With belt loops,
67,Nautica,Men Navy Blue Straight Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 3149,Mid-Rise,Regular,Straight Fit,,,,,,,11466494,Clean Look,Light Fade,Dark,Stretchable,With belt loops,
68,Ecko Unltd,Men Blue Tapered Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 749,Mid-Rise,Regular,Tapered Fit,,,,,,,9390077,Clean Look,Heavy Fade,Medium,Stretchable,With belt loops,
69,max,Men Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1299,Mid-Rise,Regular,Skinny Fit,,,,,,,12671362,Clean Look,Light Fade,Light,Stretchable,With belt loops,
70,WROGN,Men Blue Slim Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 2199,Mid-Rise,Regular,Slim Fit,,,,,,,11560190,Clean Look,No Fade,Medium,Stretchable,With belt loops,
71,WROGN,Men Grey Slim Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 2199,Mid-Rise,Regular,Slim Fit,,,,,,,11560222,Clean Look,Heavy Fade,Medium,Stretchable,With belt loops,
72,High Star,Men Black Slim Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1299,Mid-Rise,Regular,Slim Fit,,,,,,,7451252,Clean Look,No Fade,Dark,Stretchable,With belt loops,
73,Celio,Men Black Tapered Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 2249,Mid-Rise,Regular,Tapered Fit,Carrot,,,,,,11704796,Clean Look,No Fade,Dark,,With belt loops,
74,Ecko Unltd,Men Blue Tapered Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 749,Mid-Rise,Regular,Tapered Fit,,,,,,,9808779,Clean Look,Light Fade,Dark,Stretchable,With belt loops,
75,max,Men Blue Slim Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1399,Mid-Rise,Regular,Slim Fit,,,,,,,12671422,Clean Look,Heavy Fade,Medium,Stretchable,With belt loops,
76,Roadster,Men Blue Skinny Fit Mid-Rise clean Look Stretchable Jeans,Rs. 824,Mid-Rise,Regular,Skinny Fit,,,,,,,5669840,Clean Look,No Fade,Light,Stretchable,With belt loops,
77,max,Men Blue Skinny Fit Mid-Rise Clean Look Jeans,Rs. 1299,Mid-Rise,Regular,Skinny Fit,,,,,,,12704694,Clean Look,No Fade,Medium,Stretchable,With belt loops,
78,Roadster,Men Blue Carrot Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 944,Mid-Rise,Regular,Slim Fit,Carrot,,,,,,11631052,Clean Look,Heavy Fade,Light,,With belt loops,
79,Campus Sutra,Men Blue Slim Fit Mid-Rise Mildly Distressed Stretchable Jeans,Rs. 934,Mid-Rise,Regular,Slim Fit,,,,,,,8375987,Low Distress,Light Fade,Medium,,With belt loops,Cat Scratches
80,max,Men Blue Skinny Fit Mid-Rise Clean Look Jeans,Rs. 1399,Mid-Rise,Cropped,Skinny Fit,,,,,,,12671292,Clean Look,Heavy Fade,Light,Stretchable,With belt loops,
81,Jack &amp; Jones,Men Grey Ben Skinny Fit Low-Rise Clean Look Stretchable Jeans,Rs. 2699,Low-Rise,Regular,Skinny Fit,Ben,,,,,,9658257,Clean Look,Light Fade,Light,,With belt loops,
82,max,Men Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1399,Mid-Rise,Regular,Skinny Fit,,,,,,,12671412,Clean Look,Heavy Fade,Dark,Stretchable,With belt loops,
83,HERE&amp;NOW,Men Black Tapered Fit Mid-Rise Clean Look Stretchable Cropped Jeans,Rs. 839,Mid-Rise,Regular,Tapered Fit,,,,,,,4911728,Clean Look,No Fade,Dark,Stretchable,With belt loops,
84,Jack &amp; Jones,Men Blue Ben Skinny Fit Low-Rise Slash Knee Stretchable Jeans,Rs. 1294,Low-Rise,Regular,Skinny Fit,Ben,,,,,,11705864,Slash Knee,Heavy Fade,Medium,,,Ripped
85,LOCOMOTIVE,Men Blue Tapered Fit Mid-Rise Mildly Distressed Stretchable Jeans,Rs. 1124,Mid-Rise,Regular,Tapered Fit,,,,,,,8158661,Mildly Distressed,Heavy Fade,Light,,With belt loops,Ripped
86,Roadster,Men Black Slim Tapered Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1019,Mid-Rise,Regular,Slim Fit,,,,,,,8962431,Clean Look,Light Fade,Dark,Stretchable,With belt loops,
