,title,name,price,Waist Rise,Length,Fit,Brand Fit Name,Print or Pattern Type,Closure,Type of Pleat,Weave Type,Fly Type,productId,Distress,Fade,Shade,Stretch,Waistband,Type of Distress
62,DOROTHY PERKINS,Women Navy Blue Alex Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 2154,Mid-Rise,Regular,Skinny Fit,,,,,,,12666264,Clean Look,Light Fade,Medium,Stretchable,With belt loops,
63,MANGO,Women Blue Skinny Fit Mid-Rise Clean Look Stretchable Cropped Sustainable Jeans,Rs. 1673,Mid-Rise,Cropped,Skinny Fit,,,,,,,11175390,Clean Look,No Fade,Light,Stretchable,With belt loops,
64,Roadster,Women Blue Skinny Fit Mid-Rise Clean Look Stretchable Cropped Jeans,Rs. 449,Mid-Rise,Regular,Skinny Fit,,,,,,,10967644,Clean Look,Heavy Fade,Light,Stretchable,With belt loops,
65,Deal Jeans,Women Blue Slim Fit High-Rise Clean Look Cropped Stretchable Jeans,Rs. 1497,High-Rise,Regular,Slim Fit,,,,,,,2426928,Clean Look,Light Fade,Medium,Stretchable,With belt loops,
66,Chemistry,Women Black Mid-Rise Clean Look Stretchable Jeans,Rs. 849,Mid-Rise,Regular,Regular Fit,,,,,,,2139857,Clean Look,No Fade,Dark,Stretchable,With belt loops,
67,ONLY,Women White Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1035,Mid-Rise,Regular,Skinny Fit,,,,,,,11523790,Clean Look,No Fade,Light,Stretchable,With belt loops,
68,High Star,Women Blue &amp; Blue Slim Fit High-Rise Clean Look Jeans,Rs. 791,High-Rise,Regular,Slim Fit,,,,,,,10343543,Clean Look,Heavy Fade,Medium,Stretchable,With belt loops,
69,Roadster,Women Blue Skinny Fit High-Rise Clean Look Stretchable Cropped Jeans,Rs. 604,High-Rise,Cropped,Skinny Fit,,,,,,,11541522,Clean Look,Heavy Fade,Medium,Stretchable,With belt loops,
70,SASSAFRAS,Women Lavender Relaxed Fit Mid-Rise Clean Look Pleated Jeans,Rs. 989,Mid-Rise,Regular,Relaxed Fit,,,,,,,12221950,Clean Look,No Fade,Coloured,Stretchable,With belt loops,
71,Roadster,Women Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 719,Mid-Rise,Regular,Skinny Fit,,,,,,,11688534,Clean Look,Light Fade,Dark,Stretchable,With belt loops,
72,High Star,Women White Slim Fit High-Rise Clean Look Stretchable Jeans,Rs. 804,High-Rise,Cropped,Slim Fit,,,,,,,8134313,Clean Look,No Fade,Light,Stretchable,With belt loops,
73,Deal Jeans,Women Blue Slim Fit Mid-Rise Clean Look Cropped Stretchable Jeans,Rs. 1377,Mid-Rise,Regular,Slim Fit,,,,,,,2426938,Clean Look,Light Fade,Medium,Stretchable,With belt loops,
74,Roadster,Women Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 449,Mid-Rise,Regular,Skinny Fit,,,,,,,10967466,Clean Look,Heavy Fade,Light,Stretchable,With belt loops,
75,Scotch &amp; Soda,Women Blue La Bohemienne Skinny Fit Mid-Rise Clean Look Cropped Jeans,Rs. 7794,Mid-Rise,Cropped,Skinny Fit,,,,,,,8960913,Clean Look,Light Fade,Dark,Stretchable,With belt loops,
76,Levis,Women Blue 711 Skinny Fit Mid-Rise Clean Look Stretchable Cropped Jeans,Rs. 2639,Mid-Rise,Cropped,Skinny Fit,,,,,,,11184446,Clean Look,Light Fade,Light,Stretchable,With belt loops,
77,Roadster,Women Black Slim Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 524,Mid-Rise,Regular,Slim Fit,,,,,,,2359986,Clean Look,No Fade,Dark,Stretchable,With belt loops,
78,Roadster,Women Blue Skinny Fit High-Rise Clean Look Stretchable Cropped Jeans,Rs. 604,High-Rise,Cropped,Skinny Fit,,,,,,,11541548,Clean Look,Light Fade,Dark,Stretchable,With belt loops,
79,Levis,Women Blue 715 Bootcut Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1799,Mid-Rise,Regular,Bootcut,,,,,,,11184372,Clean Look,Light Fade,Medium,Stretchable,With belt loops,
80,Miss Chase,Women Black Skinny Fit High-Rise Clean Look Jeans,Rs. 919,High-Rise,Cropped,Skinny Fit,,,,,,,10075727,Clean Look,No Fade,Dark,Stretchable,With belt loops,
81,Deal Jeans,Women Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1377,Mid-Rise,Regular,Skinny Fit,,,,,,,2426934,Clean Look,Light Fade,Light,Stretchable,With belt loops,
82,Roadster,Women Blue Skinny Fit Mid-Rise Clean Look Stretchable Cropped Jeans,Rs. 659,Mid-Rise,Cropped,Skinny Fit,,,,,,,11541578,Clean Look,Heavy Fade,Light,Stretchable,With belt loops,
83,Kraus Jeans,Women Black Mid-Rise Skinny Fit K3006 Jeans,Rs. 777,Mid-Rise,Regular,Skinny Fit,,,,,,,1062655,Clean Look,No Fade,Dark,Stretchable,With belt loops,
84,MANGO,Women Black Skinny Fit Mid-Rise Clean Look Stretchable Cropped Sustainable Jeans,Rs. 1673,Mid-Rise,Cropped,Skinny Fit,,,,,,,11175638,Clean Look,No Fade,Dark,Stretchable,With belt loops,
85,GAS,Women Blue Sheyla Skinny Fit Mid-Rise Low Distress Stretchable Jeans,Rs. 3145,Mid-Rise,Regular,Skinny Fit,,,,,,,9259493,Low Distress,Light Fade,Light,,With belt loops,Cat Scratches
86,Mast &amp; Harbour,Women Blue Skinny Fit High-Rise Clean Look Stretchable Cropped Jeans,Rs. 1189,High-Rise,Cropped,Skinny Fit,,,,,,,11607072,Clean Look,Light Fade,Dark,Stretchable,With belt loops,
87,Mast &amp; Harbour,Women Navy Blue Skinny Fit Mid-Rise Clean Look Jeans,Rs. 449,Mid-Rise,Regular,Skinny Fit,,,,,,,11255824,Clean Look,No Fade,Dark,Stretchable,With belt loops,
88,HERE&amp;NOW,Women Blue Skinny Fit High-Rise Clean Look Stretchable Cropped Jeans,Rs. 639,High-Rise,Cropped,Skinny Fit,,,,,,,12545668,Clean Look,No Fade,Medium,Stretchable,With belt loops,
89,Deal Jeans,Women Blue Slim Fit High-Rise Clean Look Stretchable Jeans,Rs. 1497,High-Rise,Regular,Slim Fit,,,,,,,5420287,Clean Look,Light Fade,Light,Stretchable,With belt loops,
90,DOLCE CRUDO,Women Blue Skinny Fit High-Rise Clean Look Stretchable Jeans,Rs. 979,High-Rise,Regular,Skinny Fit,,,,,,,11656304,Clean Look,No Fade,Medium,Stretchable,With belt loops,
91,GAS,Women Blue Star Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 3145,Mid-Rise,Regular,Skinny Fit,,,,,,,9259507,Clean Look,Heavy Fade,Light,Stretchable,With belt loops,
92,Purple Feather,Women Blue Skinny Fit High-Rise Clean Look Stretchable Jeans,Rs. 778,High-Rise,Regular,Skinny Fit,,,,,,,9051329,Clean Look,No Fade,Dark,Stretchable,With belt loops,
93,max,Women Black Slim Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1299,Mid-Rise,Regular,Slim Fit,,,,,,,12705092,Clean Look,No Fade,Dark,Stretchable,With belt loops,
94,Levis,Women Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans 711,Rs. 2309,Mid-Rise,Regular,Skinny Fit,,,,,,,9905443,Clean Look,Light Fade,Medium,Stretchable,With belt loops,
95,Levis,Women Blue 721 Skinny Fit High-Rise Clean Look Stretchable Jeans,Rs. 2879,High-Rise,Regular,Skinny Fit,,,,,,,11184682,Clean Look,Light Fade,Dark,Stretchable,With belt loops,
96,Tokyo Talkies,Women Blue Super Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 664,Mid-Rise,Regular,Super Skinny Fit,,,,,,,8083191,Clean Look,Light Fade,Medium,Stretchable,With belt loops,
97,Deal Jeans,Women Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1377,Mid-Rise,Regular,Skinny Fit,,,,,,,5420361,Clean Look,Light Fade,Dark,Stretchable,With belt loops,
98,High Star,Women White Slim Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 781,Mid-Rise,Cropped,Slim Fit,,,,,,,7289178,Clean Look,No Fade,Light,Stretchable,With belt loops,
99,Tokyo Talkies,Women Blue Slim Fit High-Rise Clean Look Stretchable Jeans,Rs. 647,High-Rise,Cropped,Slim Fit,,,,,,,12261676,Clean Look,Heavy Fade,Medium,Stretchable,With belt loops,
100,High Star,Women Grey Slim Fit High-Rise Clean Look Stretchable Jeans,Rs. 804,High-Rise,Regular,Slim Fit,,,,,,,9043345,Clean Look,No Fade,Medium,Stretchable,With belt loops,
101,max,Women Black Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1299,Mid-Rise,Cropped,Skinny Fit,,,,,,,12705170,Clean Look,No Fade,Dark,Stretchable,With belt loops,
102,Desigual,Women Black Skinny Fit Low-Rise Clean Look Stretchable Jeans,Rs. 2876,Low-Rise,Cropped,Skinny Fit,,,,,,,10985680,Clean Look,No Fade,Dark,Stretchable,With belt loops,
103,HERE&amp;NOW,Women Black Skinny Fit High-Rise Clean Look Stretchable Cropped Jeans,Rs. 799,High-Rise,Cropped,Skinny Fit,,,,,,,8806293,Clean Look,No Fade,Dark,Stretchable,With belt loops,
104,ether,Women Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 519,Mid-Rise,Regular,Skinny Fit,,,,,,,2169960,Clean Look,Light Fade,Light,Stretchable,With belt loops,
105,Levis,Women Blue 710 Super Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 2639,Mid-Rise,Regular,Super Skinny Fit,,,,,,,11184670,Clean Look,Light Fade,Medium,Stretchable,With belt loops,
